H2,W,L4,L1,L1
L4,H2,L1,B,L3
L2,L1,L3,H3,H3
H1,L1,L3,H4,L3
L2,L1,H3,L3,L1
L1,L2,L3,B,L2
L3,H2,W,L1,L2
L2,L2,H2,maj,L4
L1,L3,L3,L1,L4
W,H3,H3,L1,L2
L1,L4,L2,L1,L3
H3,L3,L3,L2,L1
H3,L3,H2,L3,L3
maj,L2,L1,L2,L1
L1,H4,H2,L3,H1
L1,L1,L1,L3,H4
H1,L3,H3,L1,L1
L1,maj,L2,H2,W
L3,H1,L4,H3,W
M,H2,M,L3,L2
L4,L2,H1,H3,L2
H3,mni,H1,H2,L3
H2,H1,L3,H2,L4
H1,L3,L1,L2,L1
L3,L4,L3,M,L2
M,L3,L4,L4,L3
W,L1,L4,H3,H3
L1,L1,H4,L2,W
L1,L2,L1,L3,L3
H1,L4,L3,L2,L1
L4,L4,H1,L2,L3
L3,L1,L2,L4,L1
L3,L3,H1,L2,L2
H1,H3,L3,L2,L1
L4,H4,L3,L3,H4
H3,L3,L1,L1,H1
L3,L1,L3,L4,L2
L4,H3,R,L4,H1
H4,H4,L2,L2,L4
L4,M,L1,L4,L4
L2,L4,L2,H3,H4
L4,L2,H2,L1,L3
W,L1,L3,W,H1
L2,L1,H4,L3,H1
H1,L1,B,L3,H1
H4,H1,L2,L3,L2
L3,L1,H1,L2,H3
H2,L1,L1,L2,H1
L2,L1,L1,H2,H1
H1,H4,L2,L3,L1
L3,L1,H5,L4,L1
L2,B,H3,L2,H1
L1,H4,L3,L2,M
H1,H3,H1,L1,L4
L1,L1,L1,L3,L2
H2,H4,R,L3,H2
H1,L3,H1,L1,H3
L3,H1,L4,L1,L3
H1,L1,H4,L1,L1
L1,H1,L4,H1,L2
L2,L1,L1,L3,L4
H2,L4,L1,L1,H2
L2,H2,H1,M,L4
H2,maj,L2,H4,H2
H1,M,H2,H3,L4
H3,W,L3,L2,L1
L3,L2,H1,L4,L2
L4,L4,H1,L3,H2
L3,L4,H4,L3,L4
L1,L3,H2,L2,L3
H3,L3,L3,L2,H3
L4,H3,L4,H1,B
L2,L2,L4,L2,L4
L4,H2,H1,maj,L1
L1,L2,L3,L1,L1
L3,L4,L1,H4,L3
L1,L2,L1,L3,H1
H1,L3,H3,L2,H2
H3,H1,L4,L4,meg
H3,L1,H1,L4,L1
H3,H1,H4,H1,L3
L1,L3,H5,H3,H3
H3,L2,H2,mni,H1
L2,L4,L1,W,L2
H1,L2,L3,L4,L4
L1,L3,L2,H1,maj
W,L3,L3,L4,H2
L2,H4,H5,L1,L3
H2,L2,L2,L1,L4
H2,L4,L4,L3,L2
L3,H1,W,L2,H1
W,H3,H3,L3,L2
L3,L1,L1,L2,L1
H1,H5,H3,L2,H1
L4,L1,H1,H4,H2
L1,L3,L3,B,H1
H1,L2,L2,H3,H3
H3,L3,H2,L2,H1
L4,H5,L1,L3,B
L3,L1,L1,L2,L3
H1,L4,L1,L2,L4
L4,H3,H2,L1,L3
H4,H2,L4,H3,L1
L4,L1,L3,L2,L2
L3,W,H3,L1,H3
L3,L1,H4,L3,L2
H2,L2,L1,L3,L1
W,L4,L4,L4,L3
L2,L2,H4,H1,L2
M,L2,W,L3,L2
L2,H1,L3,L4,L3
L4,B,L3,H2,H3
H3,H2,L3,H1,W
L4,H4,H1,L4,W
L4,L3,H3,L1,L4
meg,H2,L1,L4,L1
L2,L2,M,H2,L2
L1,L3,L2,L2,L4
H4,L1,H1,H5,H5
H4,L3,L2,L2,L1
L2,H3,L3,L3,L2
H1,H1,H1,H2,H3
B,max,L3,H1,H3
L2,M,H4,L3,H2
L3,L1,L4,L1,H1
B,H3,L2,L1,L1
H2,L3,L2,L2,L4
H4,H3,L1,maj,H1
L2,L3,L2,L4,L3
H3,H4,L1,L4,H1
H4,H2,L1,H4,H3
M,B,L4,L2,H5
L2,L3,L3,M,H1
M,L2,L4,L2,L4
